Name,Code
Tom Price,51456
Tonebridge,51457
Toodyay,51458
Toolibin,51459
Toolonga,51460
Toompup,51461
Torbay,51462
Torndirrup,51463
Townsendale,51464
Trafalgar (WA),51465
Trayning,51466
Treeby,51467
Treeton,51468
Trent,51469
Trigg,51470
Trigwell,51471
Tuart Hill,51472
Turkey Hill,51473
Tutunup,51474
Two Rocks,51475
Ucarty,51476
Ucarty West,51477
Uduc,51478
Ularring,51479
Upper Capel,51480
Upper Murray,51481
Upper Swan,51482
Upper Warren,51483
Useless Loop,51484
Usher,51485
Utakarra,51486
Vancouver Peninsula,51487
Varley,51488
Vasse,51489
Victoria Park,51490
Victoria Rock,51491
Victory Heights (WA),51492
Vittoria (WA),51493
Viveash,51494
Wadderin,51495
Waddington,51496
Waddy Forest,51497
Waeel,51498
Wagerup,51499
Waggrakine,51500
Wagin,51501
Waikiki,51502
Walebing,51503
Walgoolan,51504
Walkaway,51505
Wallareenya,51506
Wallaroo (WA),51507
Walliston,51508
Walmsley,51509
Walpole,51510
Walsall,51511
Walyormouring,51512
Walyunga National Park,51513
Walyurin,51514
Wamenusking,51515
Wanarn,51516
Wandana (WA),51517
Wandering,51518
Wandi,51519
Wandillup,51520
Wandina,51521
Wanerie,51522
Wangara,51523
Wannamal,51524
Wannanup,51525
Wanneroo,51526
Wansbrough,51527
Warakurna,51528
Warawarrup,51529
Warburton (WA),51530
Wardering,51531
Warding East,51532
Warmun,51533
Warnbro,51534
Warner Glen,51535
Waroona,51536
Warrachuppin,51537
Warradarge,51538
Warralakin,51539
Warrenup,51540
Warwick (WA),51541
Waterbank,51542
Watercarrin,51543
Waterford (WA),51544
Waterloo (WA),51545
Watermans Bay,51546
Watheroo,51547
Wattening,51548
Wattle Grove (WA),51549
Wattleup,51550
Wattoning,51551
Webberton,51552
Wedge Island (WA),51553
Wedgecarrup,51554
Wedgefield,51555
Welbungin,51556
Weld Range,51557
Wellard,51558
Wellesley (WA),51559
Wellington Forest,51560
Wellington Mill,51561
Wellstead,51562
Welshpool (WA),51563
Wembley,51564
Wembley Downs,51565
West Ballidu,51566
West Beach (WA),51567
West Binnu,51568
West Busselton,51569
West Cape Howe,51570
West Casuarinas,51571
West Coolup,51572
West End (WA),51573
West Fitzgerald,51574
West Holleton,51575
West Kalgoorlie,51576
West Lamington,51577
West Leederville,51578
West Lyons River,51579
West Perth,51580
West Pingelly,51581
West Pinjarra,51582
West Popanyinning,51583
West River,51584
West Swan,51585
West Toodyay,51586
Westdale (WA),51587
Westminster,51588
Westonia,51589
Westwood (WA),51590
Whim Creek,51591
Whitby,51592
White Gum Valley,51593
White Peak,51594
Whiteman,51595
Whittaker,51596
Wialki,51597
Wicherina,51598
Wicherina South,51599
Wickepin,51600
Wickham (WA),51601
Widgiemooltha,51602
Wijilawarrim,51603
Wilberforce (WA),51604
Wilbinga,51605
Wilga,51606
Wilga West,51607
Wilgarrup,51608
Wilgoyne,51609
Willagee,51610
Willare,51611
Willetton,51612
William Bay,51613
Williams,51614
Williamstown (WA),51615
Willyung,51616
Wilson,51617
Wiluna,51618
Wilyabrup,51619
Windabout,51620
Windy Harbour,51621
Winnejup,51622
Winthrop,51623
Witchcliffe,51624
Withers,51625
Wittenoom,51626
Wittenoom Hills,51627
Wogolin,51628
Wokalup,51629
Womarden,51630
Wongamine,51631
Wongan Hills,51632
Wongoondy,51633
Wonnerup,51634
Wonthella,51635
Woodanilling,51636
Woodbridge (WA),51637
Woodlands (WA),51638
Woodleigh (WA),51639
Woodridge (WA),51640
Woodvale (WA),51641
Woogenellup,51642
Woolgorong,51643
Woolocutty,51644
Wooramel,51645
Wooroloo,51646
Woorree,51647
Woottating,51648
Worsley,51649
Wubin,51650
Wundowie,51651
Wungong,51652
Wuraming,51653
Wyalkatchem,51654
Wyening,51655
Wyndham (WA),51656
Wyola West,51657
Xantippe,51658
Yabberup,51659
Yakamia,51660
Yalardy,51661
Yalgoo,51662
Yallabatharra,51663
Yallingup,51664
Yallingup Siding,51665
Yalyalup,51666
Yanchep,51667
Yandanooka,51668
Yandoo Creek,51669
Yangebup,51670
Yanmah,51671
Yannarie,51672
Yarawindah,51673
Yardarino,51674
Yarloop,51675
Yarragadee,51676
Yathroo,51677
Yeagarup,51678
Yeal,51679
Yealering,51680
Yelbeni,51681
Yellowdine,51682
Yelverton,51683
Yerecoin,51684
Yetna,51685
Yilliminning,51686
Yoganup,51687
Yokine,51688
Yoongarillup,51689
York,51690
Yornaning,51691
Yornup,51692
Yoting,51693
Youndegin,51694
Youngs Siding,51695
Yourdamung Lake,51696
Yuna,51697
Zanthus,51698
Zuytdorp,51699
test,"""00000"""
